model,mode,blind_retry,same_key_retry,verify_then_retry,verify_then_skip,escalate,stop_without_check
claude-opus-5.5,http500_post,0.0,0.07246376811594203,0.0,0.8405797101449275,0.028985507246376812,0.057971014492753624
claude-opus-5.5,http500_pre,0.0,0.043478260869565216,0.8405797101449275,0.028985507246376812,0.028985507246376812,0.057971014492753624
claude-opus-5.5,timeout_late,0.0,0.13043478260869565,0.7246376811594203,0.043478260869565216,0.043478260869565216,0.057971014492753624
claude-opus-5.5,timeout_post,0.0,0.13043478260869565,0.0,0.782608695652174,0.028985507246376812,0.057971014492753624
claude-opus-5.5,timeout_pre,0.0,0.10144927536231885,0.782608695652174,0.028985507246376812,0.028985507246376812,0.057971014492753624
gemini-3.8-flash,http500_post,0.057971014492753624,0.0,0.17391304347826086,0.7681159420289855,0.0,0.0
gemini-3.8-flash,http500_pre,0.07246376811594203,0.0,0.8405797101449275,0.08695652173913043,0.0,0.0
gemini-3.8-flash,timeout_late,0.0,0.014492753623188406,0.7536231884057971,0.08695652173913043,0.14492753623188406,0.0
gemini-3.8-flash,timeout_post,0.0,0.014492753623188406,0.028985507246376812,0.927536231884058,0.028985507246376812,0.0
gemini-3.8-flash,timeout_pre,0.014492753623188406,0.014492753623188406,0.7536231884057971,0.08695652173913043,0.13043478260869565,0.0
gpt-4.1,http500_post,0.8620689655172413,0.017241379310344827,0.034482758620689655,0.0,0.017241379310344827,0.06896551724137931
gpt-4.1,http500_pre,0.8666666666666667,0.0,0.03333333333333333,0.016666666666666666,0.0,0.08333333333333333
gpt-4.1,timeout_late,0.7049180327868853,0.0,0.16393442622950818,0.06557377049180328,0.0,0.06557377049180328
gpt-4.1,timeout_post,0.6885245901639344,0.0,0.04918032786885246,0.19672131147540983,0.03278688524590164,0.03278688524590164
gpt-4.1,timeout_pre,0.7096774193548387,0.016129032258064516,0.14516129032258066,0.04838709677419355,0.0,0.08064516129032258
gpt-5.4-mini,http500_post,0.43478260869565216,0.13043478260869565,0.0,0.391304347826087,0.0,0.043478260869565216
gpt-5.4-mini,http500_pre,0.4057971014492754,0.14492753623188406,0.36231884057971014,0.0,0.0,0.08695652173913043
gpt-5.4-mini,timeout_late,0.028985507246376812,0.07246376811594203,0.7681159420289855,0.08695652173913043,0.028985507246376812,0.014492753623188406
gpt-5.4-mini,timeout_post,0.028985507246376812,0.057971014492753624,0.014492753623188406,0.855072463768116,0.028985507246376812,0.014492753623188406
gpt-5.4-mini,timeout_pre,0.0,0.08695652173913043,0.7971014492753623,0.057971014492753624,0.028985507246376812,0.028985507246376812
gpt-5.6-sol,http500_post,0.0,0.13043478260869565,0.014492753623188406,0.7681159420289855,0.028985507246376812,0.057971014492753624
gpt-5.6-sol,http500_pre,0.0,0.11594202898550725,0.7246376811594203,0.057971014492753624,0.043478260869565216,0.057971014492753624
gpt-5.6-sol,timeout_late,0.0,0.13043478260869565,0.6956521739130435,0.07246376811594203,0.07246376811594203,0.028985507246376812
gpt-5.6-sol,timeout_post,0.0,0.13043478260869565,0.0,0.782608695652174,0.028985507246376812,0.057971014492753624
gpt-5.6-sol,timeout_pre,0.0,0.11594202898550725,0.6956521739130435,0.057971014492753624,0.08695652173913043,0.043478260869565216
gpt-6-astra,http500_post,0.0,0.14492753623188406,0.0,0.7971014492753623,0.028985507246376812,0.028985507246376812
gpt-6-astra,http500_pre,0.0,0.14492753623188406,0.6376811594202898,0.057971014492753624,0.13043478260869565,0.028985507246376812
gpt-6-astra,timeout_late,0.0,0.14492753623188406,0.2753623188405797,0.2608695652173913,0.30434782608695654,0.014492753623188406
gpt-6-astra,timeout_post,0.0,0.14492753623188406,0.0,0.7971014492753623,0.028985507246376812,0.028985507246376812
gpt-6-astra,timeout_pre,0.0,0.14492753623188406,0.36231884057971014,0.08695652173913043,0.4057971014492754,0.0
gpt-6-sol,http500_post,0.0,0.014492753623188406,0.0,0.9565217391304348,0.028985507246376812,0.0
gpt-6-sol,http500_pre,0.0,0.043478260869565216,0.8115942028985508,0.10144927536231885,0.043478260869565216,0.0
gpt-6-sol,timeout_late,0.0,0.07246376811594203,0.5652173913043478,0.2318840579710145,0.13043478260869565,0.0
gpt-6-sol,timeout_post,0.0,0.07246376811594203,0.0,0.8985507246376812,0.028985507246376812,0.0
gpt-6-sol,timeout_pre,0.0,0.08695652173913043,0.6231884057971014,0.10144927536231885,0.18840579710144928,0.0
grok-4.7,http500_post,0.2028985507246377,0.07246376811594203,0.014492753623188406,0.7101449275362319,0.0,0.0
grok-4.7,http500_pre,0.18840579710144928,0.11594202898550725,0.6086956521739131,0.08695652173913043,0.0,0.0
grok-4.7,timeout_late,0.0,0.0,0.8840579710144928,0.08695652173913043,0.028985507246376812,0.0
grok-4.7,timeout_post,0.0,0.0,0.0,0.9710144927536232,0.028985507246376812,0.0
grok-4.7,timeout_pre,0.0,0.0,0.8840579710144928,0.08695652173913043,0.028985507246376812,0.0
